English Name of Language,ISO 639-2 Code,Script Code
"Nynorsk, Norwegian",nno,N/A
"Bokmål, Norwegian",nob,N/A
Norwegian Bokmål,nob,N/A
Nogai,nog,Cyrl
"Norse, Old",non,N/A
Norwegian,nor,Latn
N'Ko,nqo,N/A
Pedi,nso,N/A
Sepedi,nso,N/A
Northern Sotho,nso,Latn
Nubian languages,nub,N/A
Classical Newari,nwc,N/A
Old Newari,nwc,N/A
Classical Nepal Bhasa,nwc,N/A
Chichewa,nya,N/A
Chewa,nya,N/A
Nyanja,nya,Latn
Nyamwezi,nym,Latn
Nyankole,nyn,Latn
Nyoro,nyo,Latn
Nzima,nzi,Latn
Occitan (post 1500),oci,N/A
Ojibwa,oji,Cans
Oriya,ori,N/A
Oromo,orm,Latn
Osage,osa,Latn
Ossetian,oss,N/A
Ossetic,oss,Cyrl
"Turkish, Ottoman (1500-1928)",ota,N/A
Otomian languages,oto,N/A
Papuan languages,paa,N/A
Pangasinan,pag,Latn
Pahlavi,pal,N/A
Pampanga,pam,Latn
Kapampangan,pam,N/A
Panjabi,pan,N/A
Punjabi,pan,Arab
Papiamento,pap,Latn
Palauan,pau,Latn
"Persian, Old (ca.600-400 B.C.)",peo,N/A
Persian,per,Arab
Philippine languages,phi,N/A
Phoenician,phn,N/A
Pali,pli,N/A
Polish,pol,Latn
Pohnpeian,pon,Latn
Portuguese,por,Latn
Prakrit languages,pra,N/A
"Provençal, Old (to 1500);Occitan, Old (to 1500)",pro,N/A
Pushto,pus,N/A
Pashto,pus,Arab
Reserved for local use,qaa,N/A
Quechua,que,Latn
Rajasthani,raj,Deva
Rapanui,rap,Latn
Rarotongan,rar,Latn
Cook Islands Maori,rar,N/A
Romance languages,roa,N/A
Romansh,roh,Latn
Romany,rom,Latn
Romanian,rum,Latn
Moldavian,rum,N/A
Moldovan,rum,N/A
Rundi,run,Latn
Aromanian,rup,Latn
Arumanian,rup,N/A
Macedo-Romanian,rup,N/A
Russian,rus,Cyrl
Sandawe,sad,Latn
Sango,sag,Latn
Yakut,sah,N/A
South American Indian languages,sai,N/A
Salishan languages,sal,N/A
Samaritan Aramaic,sam,N/A
Sanskrit,san,N/A
Sasak,sas,Latn
Santali,sat,Latn
Sicilian,scn,Latn
Scots,sco,Latn
Selkup,sel,N/A
Semitic languages,sem,N/A
"Irish, Old (to 900)",sga,N/A
Sign Languages,sgn,N/A
Shan,shn,Mymr
Sidamo,sid,Latn
Sinhala,sin,Sinh
Sinhalese,sin,N/A
Siouan languages,sio,N/A
Sino-Tibetan languages,sit,N/A
Slavic languages,sla,N/A
Slovak,slo,Latn
Slovak,slo,Latn
Slovenian,slv,Latn
Southern Sami,sma,Latn
Northern Sami,sme,Latn
Sami languages,smi,N/A
Lule Sami,smj,Latn
Inari Sami,smn,Latn
Samoan,smo,Latn
Skolt Sami,sms,Latn
Shona,sna,Latn
Sindhi,snd,Arab
Soninke,snk,Latn
Sogdian,sog,N/A
Somali,som,Latn
Songhai languages,son,N/A
"Sotho, Southern",sot,N/A
Spanish,spa,Latn
Castilian,spa,N/A
Albanian,alb,Latn
Sardinian,srd,Latn
Sranan Tongo,srn,Latn
Serbian,srp,Cyrl
Serer,srr,Latn
Nilo-Saharan languages,ssa,N/A
Swati,ssw,Latn
Sukuma,suk,Latn
Sundanese,sun,Latn
Susu,sus,Latn
Sumerian,sux,N/A
Swahili,swa,Latn
Swedish,swe,Latn
Classical Syriac,syc,N/A
Syriac,syr,N/A
Tahitian,tah,Latn
Tai languages,tai,N/A
Tamil,tam,Taml
Tatar,tat,Cyrl
Telugu,tel,Telu
Timne,tem,Latn
Tereno,ter,Latn
Tetum,tet,Latn
Tajik,tgk,Arab
Tagalog,tgl,N/A
Thai,tha,Thai
Tibetan,tib,Tibt
,bod,N/A
Tigre,tig,Ethi
Tigrinya,tir,Ethi
Tiv,tiv,Latn
Tokelau,tkl,Latn
Klingon,tlh,N/A
tlhIngan-Hol,tlh,N/A
Tlingit,tli,Latn
Tamashek,tmh,Latn
Tonga (Nyasa),tog,N/A
Tonga (Tonga Islands),ton,N/A
Tok Pisin,tpi,Latn
Tsimshian,tsi,Latn
Tswana,tsn,Latn
Tsonga,tso,Latn
Turkmen,tuk,Arab
Tumbuka,tum,Latn
Tupi languages,tup,N/A
Turkish,tur,Latn
Altaic languages,tut,N/A
Tuvalu,tvl,Latn
Twi,twi,N/A
Tuvinian,tyv,Cyrl
Udmurt,udm,Cyrl
Ugaritic,uga,N/A
Uighur,uig,N/A
Uyghur,uig,Arab
Ukrainian,ukr,Cyrl
Umbundu,umb,Latn
Undetermined,und,N/A
Urdu,urd,Arab
Uzbek,uzb,Arab
Vai,vai,Latn
Venda,ven,Latn
Vietnamese,vie,Latn
Volapük,vol,N/A
Votic,vot,N/A
Wakashan languages,wak,N/A
Wolaitta,wal,N/A
Wolaytta,wal,Ethi
Waray,war,Latn
Washo,was,Latn
Welsh,wel,Latn
,cym,N/A
Sorbian languages,wen,N/A
Walloon,wln,Latn
Wolof,wol,Latn
Kalmyk,xal,Cyrl
Oirat,xal,N/A
Xhosa,xho,Latn
Yao,yao,Latn
Yapese,yap,Latn
Yiddish,yid,Hebr
Yoruba,yor,Latn
Yupik languages,ypk,N/A
Zapotec,zap,Latn
Blissymbols,zbl,N/A
Blissymbolics,zbl,N/A
Bliss,zbl,N/A
Zenaga,zen,N/A
Standard Moroccan Tamazight,zgh,Tfng
Zhuang,zha,Latn
Chuang,zha,N/A
Chinese,chi,Hans
Zande languages,znd,N/A
Zulu,zul,Latn
Zuni,zun,Latn
No linguistic content,zxx,N/A
Not applicable,zxx,N/A
Zaza,zza,Latn
Dimili,zza,N/A
Dimli,zza,N/A
Kirdki,zza,N/A
Kirmanjki,zza,Latn
Zazaki,zza,N/A
